"<54>Aug 28 15:39:40 HL-ANTIVIRUS SymantecServer: ADPTKLT122","SHA-256: ","MD-5: ","Local: 192.168.1.8","Local: 3","Local: C85B76153E0A","Remote: 192.168.1.1","Remote: ","Remote: 3","Remote: 04A151C18142","ICMP","Outbound","Begin: 2019-08-28 15:32:56","End: 2019-08-28 15:33:05","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jvernale","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 15:48:41 HL-ANTIVIRUS SymantecServer: INLT1145","SHA-256: 5379732000000000000000000000000000000000000000000000000000000000","MD-5: 53797320000000000000000000000000","Local: 10.21.10.16","Local: 137","Local: 54E1AD1FD535","Remote: 194.194.248.161","Remote: SAPIENS.INT","Remote: 57432","Remote: 78BC1A4880FF","UDP","Inbound","Begin: 2019-08-28 15:32:54","End: 2019-08-28 15:32:55","Occurrences: 2","Application: C:/Windows/system32/NTOSKRNL.EXE","Rule: Block Local File Sharing","Location: External","User: debananda.sahoo","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:42:13 HL-ANTIVIRUS SymantecServer: HLLT-LOANER05","SHA-256: ","MD-5: ","Local: 192.168.1.26","Local: 3","Local: E82AEA26EFEE","Remote: 213.57.2.5","Remote: ","Remote: 3","Remote: 086A0A20A96A","ICMP","Outbound","Begin: 2019-08-28 15:32:54","End: 2019-08-28 15:32:56","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sazriel","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:44:19 HL-ANTIVIRUS SymantecServer: KALT-BeataR","SHA-256: ","MD-5: ","Local: 10.181.10.60","Local: 3","Local: 54EE75512B57","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:48","End: 2019-08-28 15:32:48","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: beata.rusek","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:39:40 HL-ANTIVIRUS SymantecServer: ADPTKLT122","SHA-256: ","MD-5: ","Local: 192.168.1.8","Local: 3","Local: C85B76153E0A","Remote: 192.168.1.1","Remote: ","Remote: 3","Remote: 04A151C18142","ICMP","Outbound","Begin: 2019-08-28 15:32:44","End: 2019-08-28 15:32:44","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jvernale","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:29:19 HL-ANTIVIRUS SymantecServer: KALT-TomaszL","SHA-256: ","MD-5: ","Local: 10.181.10.19","Local: 3","Local: 54EE7525D2C8","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:43","End: 2019-08-28 15:32:43","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.lewicki","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:40:19 HL-ANTIVIRUS SymantecServer: KADT-LukaszM","SHA-256: ","MD-5: ","Local: 10.181.10.2","Local: 3","Local: 0026182638FC","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:41","End: 2019-08-28 15:32:47","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: lukasz.marcola","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:40:19 HL-ANTIVIRUS SymantecServer: KADT-LukaszM","SHA-256: ","MD-5: ","Local: 10.181.10.2","Local: 3","Local: 0026182638FC","Remote: 10.181.100.12","Remote: KTWDC02.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:37","End: 2019-08-28 15:32:48","Occurrences: 6","Application: ","Rule: Block all other IP traffic and log","Location: External","User: lukasz.marcola","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:24:47 HL-ANTIVIRUS SymantecServer: KALT-TomaszD","SHA-256: ","MD-5: ","Local: 10.6.13.201","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.101","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 15:32:34","End: 2019-08-28 15:32:34","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.dacy","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:42 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.80","Local: 8080","Local: 0050B65B06F9","Remote: 172.17.31.153","Remote: ","Remote: 62422","Remote: 0050B67D0DAE","TCP","Inbound","Begin: 2019-08-28 15:32:30","End: 2019-08-28 15:32:33","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
