"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority Index","H/U","Class Type","Address","Data Item Type","Data Item Number","Counter","Att"
"3665640968.615380","000023060080","03","03","C2","00","00","00","08","00","0","Unit","Status","3","Status Message Type / Version Message Number","1","0","0"
"3665640968.755264","000020860000","00","02","00","01","00","05","00","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","0","0","0"
"3665640968.755548","000020860082","00","04","00","01","00","05","27","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","1","1","0"
"3665640968.755842","000020860104","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","2","2","0"
"3665640968.756128","000020860186","00","02","00","00","00","00","FF","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","3","3","0"
"3665640968.756416","000020860208","00","04","00","01","00","02","27","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","4","4","0"
"3665640968.756704","00002086028A","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","3","Status Message Type / Version Message Number","5","5","0"
"3665640968.756996","00002086400C","00","00","02","00","00","05","04","AA","0","Host","I/O configuration","3","Bit Message Number","0","6","0"
"3665640968.757280","00002086408E","00","00","01","01","01","02","04","AA","0","Host","I/O configuration","3","Bit Message Number","1","7","0"
"3665640968.757568","000022860002","00","02","00","01","00","05","00","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","0","1","0"
"3665640968.757864","000022860084","00","04","00","01","00","05","27","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","1","2","0"
"3665640968.758164","000022860106","00","00","00","00","00","00","FF","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","2","3","0"
"3665640968.758463","000022860188","00","02","00","00","00","00","FF","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","3","4","0"
"3665640968.758759","00002286020A","00","04","00","01","00","02","27","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","4","5","0"
"3665640968.759078","00002286028C","00","00","00","00","00","00","FF","AA","0","Unit","I/O configuration","3","Status Message Type / Version Message Number","5","6","0"
"3665640968.759375","00002286400E","00","00","02","00","00","05","04","AA","0","Unit","I/O configuration","3","Bit Message Number","0","7","0"
"3665640968.759673","000022864080","00","00","01","01","01","02","04","AA","0","Unit","I/O configuration","3","Bit Message Number","1","0","0"
"3665640968.760221","000020864100","00","00","01","00","00","00","FF","AA","0","Host","I/O configuration","3","Bit Message Number","2","0","0"
"3665640968.760509","000020868002","00","00","00","00","00","05","18","AA","0","Host","I/O configuration","3","Set Timestamp Message Number","0","1","0"
"3665640968.760797","000020868084","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","3","Set Timestamp Message Number","1","2","0"
"3665640968.761083","000020868106","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","3","Set Timestamp Message Number","2","3","0"
"3665640968.761371","000020868188","00","00","00","00","00","05","04","AA","0","Host","I/O configuration","3","Set Timestamp Message Number","3","4","0"
"3665640968.761661","00002086820A","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","3","Set Timestamp Message Number","4","5","0"
"3665640968.761957","000020940000","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","0","0","0"
"3665640968.762243","000020940082","00","02","00","01","00","05","18","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","1","1","0"
"3665640968.762529","000022864102","00","00","01","00","00","00","FF","AA","0","Unit","I/O configuration","3","Bit Message Number","2","1","0"
"3665640968.762827","000022868004","00","00","00","00","00","05","18","AA","0","Unit","I/O configuration","3","Set Timestamp Message Number","0","2","0"
"3665640968.763121","000022868086","00","00","00","01","00","05","09","AA","0","Unit","I/O configuration","3","Set Timestamp Message Number","1","3","0"
"3665640968.763419","000022868108","00","00","00","01","00","05","09","AA","0","Unit","I/O configuration","3","Set Timestamp Message Number","2","4","0"
"3665640968.763715","00002286818A","00","00","00","00","00","05","04","AA","0","Unit","I/O configuration","3","Set Timestamp Message Number","3","5","0"
"3665640968.764023","00002286820C","00","00","00","00","00","00","FF","AA","0","Unit","I/O configuration","3","Set Timestamp Message Number","4","6","0"
"3665640968.765525","000020940104","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","2","2","0"
"3665640968.765813","000020940186","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","3","3","0"
"3665640968.766101","000020940208","00","02","00","01","00","02","18","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","4","4","0"
"3665640968.766389","00002094028A","00","00","00","00","00","02","04","AA","0","Host","I/O configuration","10","Status Message Type / Version Message Number","5","5","0"
"3665640968.766677","00002094400C","00","00","02","00","00","05","04","AA","0","Host","I/O configuration","10","Bit Message Number","0","6","0"
"3665640968.766963","00002094408E","00","00","01","01","01","02","04","AA","0","Host","I/O configuration","10","Bit Message Number","1","7","0"
"3665640968.767253","000020944100","00","00","01","00","00","00","FF","AA","0","Host","I/O configuration","10","Bit Message Number","2","0","0"
"3665640968.767539","000020948002","00","00","00","00","00","05","18","AA","0","Host","I/O configuration","10","Set Timestamp Message Number","0","1","0"
"3665640968.770201","000020948084","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","10","Set Timestamp Message Number","1","2","0"
"3665640968.770490","000020948106","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","10","Set Timestamp Message Number","2","3","0"
"3665640968.770780","000020948188","00","00","00","00","00","05","04","AA","0","Host","I/O configuration","10","Set Timestamp Message Number","3","4","0"
"3665640968.771068","00002094820A","00","00","00","00","00","05","04","AA","0","Host","I/O configuration","10","Set Timestamp Message Number","4","5","0"
"3665640968.771358","0000208C0000","00","03","00","01","00","05","04","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","0","0","0"
"3665640968.771642","0000208C0082","00","16","00","01","00","05","13","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","1","1","0"
"3665640968.771934","0000208C0104","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","2","2","0"
"3665640968.772220","0000208C0186","00","03","00","00","00","00","FF","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","3","3","0"
"3665640968.775475","0000208C0208","00","16","00","01","00","02","05","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","4","4","0"
"3665640968.775764","0000208C028A","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","6","Status Message Type / Version Message Number","5","5","0"
"3665640968.776058","0000208C400C","00","00","02","00","00","00","FF","AA","0","Host","I/O configuration","6","Bit Message Number","0","6","0"
"3665640968.776340","0000208C408E","00","0A","01","01","01","02","04","AA","0","Host","I/O configuration","6","Bit Message Number","1","7","0"
"3665640968.776630","0000208C4100","00","00","01","00","00","00","FF","AA","0","Host","I/O configuration","6","Bit Message Number","2","0","0"
"3665640968.776916","0000208C8002","00","00","00","00","00","05","18","AA","0","Host","I/O configuration","6","Set Timestamp Message Number","0","1","0"
"3665640968.777204","0000208C8084","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","6","Set Timestamp Message Number","1","2","0"
"3665640968.777490","0000208C8106","00","00","00","01","00","05","09","AA","0","Host","I/O configuration","6","Set Timestamp Message Number","2","3","0"
"3665640968.780209","0000208C8188","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","6","Set Timestamp Message Number","3","4","0"
"3665640968.780499","0000208C820A","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","6","Set Timestamp Message Number","4","5","0"
"3665640968.780793","000020920000","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","0","0","0"
"3665640968.781081","000020920082","00","06","00","01","00","05","05","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","1","1","0"
"3665640968.781373","000020920104","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","2","2","0"
"3665640968.781665","000020920186","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","3","3","0"
"3665640968.781957","000020920208","00","06","00","01","00","02","05","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","4","4","0"
"3665640968.782245","00002092028A","00","00","00","00","00","00","FF","AA","0","Host","I/O configuration","9","Status Message Type / Version Message Number","5","5","0"
"3665640968.785202","00002092400C","00","00","02","00","00","05","04","AA","0","Host","I/O configuration","9","Bit Message Number","0","6","0"
"3665640968.785491","00002092408E","00","00","01","01","00","02","04","AA","0","Host","I/O configuration","9","Bit Message Number","1","7","0"
"3665640968.785783","000020924100","00","00","01","00","00","00","FF","AA","0","Host","I/O configuration","9","Bit Message Number","2","0","0"
