"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority_Index","H_U","Class_Type","Address","Data_Item_Type","Data_Item_Number","Counter","Att"
"3665640969","0000209E028A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E400C","0","0","2","1","AA","4","5","0"
"3665640969","0000209E408E","0","0","1","1","AA","4","2","1"
"3665640969","0000209E4100","0","0","1","0","AA","FF","0","0"
"3665640969","0000209E8002","0","0","0","0","AA","18","5","0"
"3665640969","0000209E8084","0","0","0","0","AA","9","5","0"
"3665640969","0000209E8106","0","0","0","0","AA","9","5","0"
"3665640969","0000209E8188","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E820A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C0000","0","0","0","0","AA","5","5","0"
"3665640969","0000209C0082","0","0","0","0","AA","5","5","0"
"3665640969","0000209C0104","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C0186","0","0","0","0","AA","5","2","0"
"3665640969","0000209C0208","0","0","0","0","AA","5","2","0"
"3665640969","0000209C028A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C400C","0","0","2","0","AA","4","5","0"
"3665640969","0000209C408E","0","0","1","1","AA","4","2","1"
"3665640969","0000209C4100","0","0","1","0","AA","FF","0","0"
"3665640969","0000209C8002","0","0","0","0","AA","18","5","0"
"3665640969","0000209C8084","0","0","0","1","AA","9","5","0"
"3665640969","0000209C8106","0","0","0","1","AA","9","5","0"
"3665640969","0000209C8188","0","0","0","0","AA","4","5","0"
"3665640969","0000209C820A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A0000","0","6","0","1","AA","5","5","0"
"3665640969","0000209A0082","0","6","0","1","AA","5","5","0"
"3665640969","0000209A0104","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A0186","0","6","0","1","AA","5","2","0"
"3665640969","0000209A0208","0","6","0","1","AA","5","2","0"
"3665640969","0000209A028A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A400C","0","0","2","0","AA","4","5","0"
"3665640969","0000209A408E","0","0","1","1","AA","4","2","1"
"3665640969","0000209A4100","0","0","1","0","AA","FF","0","0"
"3665640969","0000209A8002","0","0","0","0","AA","18","5","0"
"3665640969","0000209A8084","0","0","0","1","AA","9","5","0"
"3665640969","0000209A8106","0","0","0","1","AA","9","5","0"
"3665640969","0000209A8188","0","0","0","0","AA","4","5","0"
"3665640969","0000209A820A","0","0","0","0","AA","FF","0","0"
"3665640969","20960000","0","6","0","1","AA","5","5","0"
"3665640969","20960082","0","0","0","0","AA","5","5","0"
"3665640969","20960104","0","0","0","0","AA","FF","0","0"
"3665640969","20960186","0","6","0","1","AA","5","2","0"
"3665640969","20960208","0","0","0","0","AA","5","2","0"
"3665640969","00002096028A","0","0","0","0","AA","FF","0","0"
"3665640969","00002096400C","0","0","2","0","AA","4","5","0"
"3665640969","00002096408E","0","0","1","1","AA","4","2","1"
"3665640969","20964100","0","0","1","0","AA","FF","0","0"
"3665640969","20968002","0","0","0","0","AA","18","5","0"
"3665640969","20968084","0","0","0","0","AA","9","5","0"
"3665640969","20968106","0","0","0","1","AA","9","5","0"
"3665640969","20968188","0","0","0","0","AA","4","5","0"
"3665640969","00002096820A","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+02","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+84","0","0","0","0","AA","5","5","0"
"3665640969","2.08E+106","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+188","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+210","0","0","0","0","AA","5","2","0"
"3665640969","0000208E028A","0","0","0","0","AA","4","2","0"
"3665640969","0000208E400C","0","0A","2","1","AA","4","5","0"
"3665640969","0000208E408E","0","0","1","1","AA","4","2","1"
"3665640969","0000208E4100","0","0","1","0","AA","FF","0","0"
"3665640969","0000208E8002","0","0","0","0","AA","18","5","0"
"3665640969","0000208E8084","0","0","0","1","AA","9","5","0"
"3665640969","0000208E8106","0","0","0","1","AA","9","5","0"
"3665640969","0000208E8188","0","0","0","0","AA","4","5","0"
"3665640969","0000208E820A","0","0","0","1","AA","4","5","0"
"3665640969","20840000","0","0","0","0","AA","FF","0","0"
"3665640969","20840082","0","0","0","0","AA","5","5","0"
"3665640969","20840104","0","0","0","0","AA","FF","0","0"
"3665640969","20840186","0","0","0","0","AA","FF","0","0"
"3665640969","20840208","0","0","0","0","AA","FF","0","0"
"3665640969","00002084028A","0","0","0","0","AA","4","2","0"
"3665640969","00002084400C","0","0","2","0","AA","4","5","0"
"3665640969","00002084408E","0","0","1","1","AA","4","2","0"
"3665640969","20844100","0","0","1","0","AA","FF","0","0"
"3665640969","20848002","0","0","0","0","AA","18","5","0"
"3665640969","20848084","0","0","0","0","AA","9","5","0"
"3665640969","20848106","0","0","0","1","AA","9","5","0"
"3665640969","20848188","0","0","0","1","AA","4","5","0"
"3665640969","00002084820A","0","0","0","1","AA","4","5","0"
"3665640969","00002006008C","0","0","0","0","0","0","0","0"
